8=FIX4.4; 35=8; 34=54; 49=MS; 56=M3; 52=2024-05-23-05:38:16; 151=3540; 55=AAPL; 11=C_algo20240523053815; 31=0; 150=4; 39=4; 54=2; 17=exec20240523053816; 32=0; 41=algo20240523053815; 38=5898; 60=2024-05-23-05:38:16; 6=0.0; 14=1179; 37=algo20240523053815; 10=252;
8=FIX4.4; 35=8; 34=59; 49=MS; 56=M3; 52=2024-05-23-05:41:57; 151=1236; 55=MSFT; 11=C_algo20240523054155; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054157; 32=0; 41=algo20240523054155; 38=3084; 60=2024-05-23-05:41:57; 6=0.0; 14=1232; 37=algo20240523054155; 10=252;
8=FIX4.4; 35=8; 34=70; 49=MS; 56=M3; 52=2024-05-23-05:42:04; 151=2092; 55=GOOGL; 11=C_algo20240523054204; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054204; 32=0; 41=algo20240523054204; 38=4183; 60=2024-05-23-05:42:04; 6=0.0; 14=0; 37=algo20240523054204; 10=252;
8=FIX4.4; 35=8; 34=75; 49=MS; 56=M3; 52=2024-05-23-05:42:07; 151=12588; 55=PEP; 11=C_algo20240523054207; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054207; 32=0; 41=algo20240523054207; 38=16784; 60=2024-05-23-05:42:07; 6=0.0; 14=0; 37=algo20240523054207; 10=252;
8=FIX4.4; 35=8; 34=80; 49=MS; 56=M3; 52=2024-05-23-05:42:10; 151=23405; 55=CSCO; 11=C_algo20240523054210; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054210; 32=0; 41=algo20240523054210; 38=29256; 60=2024-05-23-05:42:10; 6=0.0; 14=0; 37=algo20240523054210; 10=252;
8=FIX4.4; 35=8; 34=83; 49=MS; 56=M3; 52=2024-05-23-05:42:12; 151=15436; 55=AMGN; 11=C_algo20240523054212; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054212; 32=0; 41=algo20240523054212; 38=23153; 60=2024-05-23-05:42:12; 6=0.0; 14=0; 37=algo20240523054212; 10=252;
8=FIX4.4; 35=8; 34=86; 49=MS; 56=M3; 52=2024-05-23-05:42:14; 151=4002; 55=PYPL; 11=C_algo20240523054214; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054214; 32=0; 41=algo20240523054214; 38=5335; 60=2024-05-23-05:42:14; 6=0.0; 14=0; 37=algo20240523054214; 10=252;
8=FIX4.4; 35=8; 34=91; 49=MS; 56=M3; 52=2024-05-23-05:42:17; 151=9094; 55=TXN; 11=C_algo20240523054217; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054217; 32=0; 41=algo20240523054217; 38=13641; 60=2024-05-23-05:42:17; 6=0.0; 14=0; 37=algo20240523054217; 10=252;
8=FIX4.4; 35=8; 34=103; 49=MS; 56=M3; 52=2024-05-23-05:42:25; 151=23843; 55=QCOM; 11=C_algo20240523054225; 31=0; 150=4; 39=4; 54=2; 17=exec20240523054225; 32=0; 41=algo20240523054225; 38=31790; 60=2024-05-23-05:42:25; 6=0.0; 14=0; 37=algo20240523054225; 10=252;
8=FIX4.4; 35=8; 34=106; 49=MS; 56=M3; 52=2024-05-23-05:42:27; 151=16883; 55=TMUS; 11=C_algo20240523054227; 31=0; 150=4; 39=4; 54=2; 17=exec20240523054227; 32=0; 41=algo20240523054227; 38=21103; 60=2024-05-23-05:42:27; 6=0.0; 14=0; 37=algo20240523054227; 10=252;
8=FIX4.4; 35=8; 34=109; 49=MS; 56=M3; 52=2024-05-23-05:42:29; 151=5679; 55=MDLZ; 11=C_algo20240523054229; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054229; 32=0; 41=algo20240523054229; 38=11357; 60=2024-05-23-05:42:29; 6=0.0; 14=0; 37=algo20240523054229; 10=252;
8=FIX4.4; 35=8; 34=114; 49=MS; 56=M3; 52=2024-05-23-05:42:32; 151=9516; 55=DDD; 11=C_algo20240523054232; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054232; 32=0; 41=algo20240523054232; 38=14274; 60=2024-05-23-05:42:32; 6=0.0; 14=0; 37=algo20240523054232; 10=252;
8=FIX4.4; 35=8; 34=117; 49=MS; 56=M3; 52=2024-05-23-05:42:34; 151=13097; 55=MMM; 11=C_algo20240523054234; 31=0; 150=4; 39=4; 54=2; 17=exec20240523054234; 32=0; 41=algo20240523054234; 38=26194; 60=2024-05-23-05:42:34; 6=0.0; 14=0; 37=algo20240523054234; 10=252;
8=FIX4.4; 35=8; 34=120; 49=MS; 56=M3; 52=2024-05-23-05:42:36; 151=13031; 55=WBAI; 11=C_algo20240523054236; 31=0; 150=4; 39=4; 54=2; 17=exec20240523054236; 32=0; 41=algo20240523054236; 38=19546; 60=2024-05-23-05:42:36; 6=0.0; 14=0; 37=algo20240523054236; 10=252;
8=FIX4.4; 35=8; 34=123; 49=MS; 56=M3; 52=2024-05-23-05:42:38; 151=21848; 55=WUBA; 11=C_algo20240523054238; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054238; 32=0; 41=algo20240523054238; 38=32771; 60=2024-05-23-05:42:38; 6=0.0; 14=0; 37=algo20240523054238; 10=252;
8=FIX4.4; 35=8; 34=126; 49=MS; 56=M3; 52=2024-05-23-05:42:41; 151=8424; 55=EGHT; 11=C_algo20240523054240; 31=0; 150=4; 39=4; 54=2; 17=exec20240523054240; 32=0; 41=algo20240523054240; 38=16847; 60=2024-05-23-05:42:41; 6=0.0; 14=0; 37=algo20240523054240; 10=252;
8=FIX4.4; 35=8; 34=129; 49=MS; 56=M3; 52=2024-05-23-05:42:43; 151=934; 55=AHC; 11=C_algo20240523054243; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054243; 32=0; 41=algo20240523054243; 38=1868; 60=2024-05-23-05:42:43; 6=0.0; 14=0; 37=algo20240523054243; 10=252;
8=FIX4.4; 35=8; 34=133; 49=MS; 56=M3; 52=2024-05-23-05:42:46; 151=10031; 55=AOS; 11=C_algo20240523054245; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054246; 32=0; 41=algo20240523054245; 38=20061; 60=2024-05-23-05:42:46; 6=0.0; 14=5015; 37=algo20240523054245; 10=252;
8=FIX4.4; 35=8; 34=145; 49=MS; 56=M3; 52=2024-05-23-05:42:55; 151=4405; 55=AAN; 11=C_algo20240523054254; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054255; 32=0; 41=algo20240523054254; 38=13213; 60=2024-05-23-05:42:55; 6=0.0; 14=4404; 37=algo20240523054254; 10=252;
8=FIX4.4; 35=8; 34=150; 49=MS; 56=M3; 52=2024-05-23-05:42:58; 151=13831; 55=ABT; 11=C_algo20240523054258; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054258; 32=0; 41=algo20240523054258; 38=27662; 60=2024-05-23-05:42:58; 6=0.0; 14=0; 37=algo20240523054258; 10=252;
8=FIX4.4; 35=8; 34=153; 49=MS; 56=M3; 52=2024-05-23-05:43:00; 151=11820; 55=ABBV; 11=C_algo20240523054300; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054300; 32=0; 41=algo20240523054300; 38=17730; 60=2024-05-23-05:43:00; 6=0.0; 14=0; 37=algo20240523054300; 10=252;
8=FIX4.4; 35=8; 34=157; 49=MS; 56=M3; 52=2024-05-23-05:43:03; 151=9788; 55=ANF; 11=C_algo20240523054302; 31=0; 150=4; 39=4; 54=2; 17=exec20240523054303; 32=0; 41=algo20240523054302; 38=29362; 60=2024-05-23-05:43:03; 6=0.0; 14=9787; 37=algo20240523054302; 10=252;
8=FIX4.4; 35=8; 34=161; 49=MS; 56=M3; 52=2024-05-23-05:43:06; 151=1178; 55=ABM; 11=C_algo20240523054305; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054306; 32=0; 41=algo20240523054305; 38=1962; 60=2024-05-23-05:43:06; 6=0.0; 14=392; 37=algo20240523054305; 10=252;
8=FIX4.4; 35=8; 34=165; 49=MS; 56=M3; 52=2024-05-23-05:43:09; 151=12245; 55=AAPL; 11=C_algo20240523054308; 31=0; 150=4; 39=4; 54=1; 17=exec20240523054309; 32=0; 41=algo20240523054308; 38=20407; 60=2024-05-23-05:43:09; 6=0.0; 14=4081; 37=algo20240523054308; 10=252;
8=FIX4.4; 35=8; 34=168; 49=MS; 56=M3; 52=2024-05-23-05:43:11; 151=502; 55=PEP; 11=C_algo20240523054311; 31=0; 150=4; 39=4; 54=2; 17=exec20240523054311; 32=0; 41=algo20240523054311; 38=669; 60=2024-05-23-05:43:11; 6=0.0; 14=0; 37=algo20240523054311; 10=252;
