8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-05-23-05:38:15; 55=AAPL; 40=2; 11=algo20240523053815; 31=1276.37; 150=1; 39=1; 54=2; 44=1276.37; 32=1179; 17=exec20240523053815; 38=5898; 60=2024-05-23-05:38:15; 6=1276.37; 14=1179; 37=algo20240523053815; 10=240;
8=FIX4.4; 35=8; 34=128; 49=MS; 56=M3; 52=2024-05-23-05:39:05; 55=EGHT; 40=2; 11=algo20240523053905; 31=17.03; 150=1; 39=1; 54=1; 44=17.03; 32=7955; 17=exec20240523053905; 38=15911; 60=2024-05-23-05:39:05; 6=17.03; 14=7955; 37=algo20240523053905; 10=240;
8=FIX4.4; 35=8; 34=134; 49=MS; 56=M3; 52=2024-05-23-05:39:09; 55=AOS; 40=2; 11=algo20240523053909; 31=40.38; 150=1; 39=1; 54=2; 44=40.38; 32=1556; 17=exec20240523053909; 38=6224; 60=2024-05-23-05:39:09; 6=40.38; 14=1556; 37=algo20240523053909; 10=240;
8=FIX4.4; 35=8; 34=135; 49=MS; 56=M3; 52=2024-05-23-05:39:10; 55=AOS; 40=2; 11=algo20240523053909; 31=40.38; 150=1; 39=1; 54=2; 44=40.38; 32=1556; 17=exec20240523053910; 38=6224; 60=2024-05-23-05:39:10; 6=40.38; 14=3112; 37=algo20240523053909; 10=240;
8=FIX4.4; 35=8; 34=136; 49=MS; 56=M3; 52=2024-05-23-05:39:11; 55=AOS; 40=2; 11=algo20240523053909; 31=40.38; 150=1; 39=1; 54=2; 44=40.38; 32=1556; 17=exec20240523053911; 38=6224; 60=2024-05-23-05:39:11; 6=40.38; 14=4668; 37=algo20240523053909; 10=240;
8=FIX4.4; 35=8; 34=145; 49=MS; 56=M3; 52=2024-05-23-05:39:17; 55=AAN; 40=2; 11=algo20240523053917; 31=25.68; 150=1; 39=1; 54=2; 44=25.68; 32=5982; 17=exec20240523053917; 38=17946; 60=2024-05-23-05:39:17; 6=25.68; 14=5982; 37=algo20240523053917; 10=240;
8=FIX4.4; 35=8; 34=152; 49=MS; 56=M3; 52=2024-05-23-05:39:22; 55=ABT; 40=2; 11=algo20240523053922; 31=94.04; 150=1; 39=1; 54=2; 44=94.04; 32=3179; 17=exec20240523053922; 38=12719; 60=2024-05-23-05:39:22; 6=94.04; 14=3179; 37=algo20240523053922; 10=240;
8=FIX4.4; 35=8; 34=153; 49=MS; 56=M3; 52=2024-05-23-05:39:23; 55=ABT; 40=2; 11=algo20240523053922; 31=94.04; 150=1; 39=1; 54=2; 44=94.04; 32=3179; 17=exec20240523053923; 38=12719; 60=2024-05-23-05:39:23; 6=94.04; 14=6358; 37=algo20240523053922; 10=240;
8=FIX4.4; 35=8; 34=154; 49=MS; 56=M3; 52=2024-05-23-05:39:24; 55=ABT; 40=2; 11=algo20240523053922; 31=94.04; 150=1; 39=1; 54=2; 44=94.04; 32=3179; 17=exec20240523053924; 38=12719; 60=2024-05-23-05:39:24; 6=94.04; 14=9537; 37=algo20240523053922; 10=240;
8=FIX4.4; 35=8; 34=157; 49=MS; 56=M3; 52=2024-05-23-05:39:26; 55=ABBV; 40=2; 11=algo20240523053926; 31=83.60; 150=1; 39=1; 54=2; 44=83.60; 32=12982; 17=exec20240523053926; 38=25965; 60=2024-05-23-05:39:26; 6=83.60; 14=12982; 37=algo20240523053926; 10=240;
8=FIX4.4; 35=8; 34=167; 49=MS; 56=M3; 52=2024-05-23-05:39:32; 55=PEP; 40=2; 11=algo20240523053932; 31=45.43; 150=1; 39=1; 54=2; 44=45.43; 32=4027; 17=exec20240523053932; 38=12082; 60=2024-05-23-05:39:32; 6=45.43; 14=4027; 37=algo20240523053932; 10=240;
8=FIX4.4; 35=8; 34=168; 49=MS; 56=M3; 52=2024-05-23-05:39:33; 55=PEP; 40=2; 11=algo20240523053932; 31=45.43; 150=1; 39=1; 54=2; 44=45.43; 32=4027; 17=exec20240523053933; 38=12082; 60=2024-05-23-05:39:33; 6=45.43; 14=8054; 37=algo20240523053932; 10=240;
8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-05-23-05:41:52; 55=AAPL; 40=2; 11=algo20240523054152; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=3352; 17=exec20240523054152; 38=13409; 60=2024-05-23-05:41:52; 6=1276.37; 14=3352; 37=algo20240523054152; 10=240;
8=FIX4.4; 35=8; 34=57; 49=MS; 56=M3; 52=2024-05-23-05:41:55; 55=MSFT; 40=2; 11=algo20240523054155; 31=59.89; 150=1; 39=1; 54=1; 44=59.89; 32=616; 17=exec20240523054155; 38=3084; 60=2024-05-23-05:41:55; 6=59.89; 14=616; 37=algo20240523054155; 10=240;
8=FIX4.4; 35=8; 34=58; 49=MS; 56=M3; 52=2024-05-23-05:41:56; 55=MSFT; 40=2; 11=algo20240523054155; 31=59.89; 150=1; 39=1; 54=1; 44=59.89; 32=616; 17=exec20240523054156; 38=3084; 60=2024-05-23-05:41:56; 6=59.89; 14=1232; 37=algo20240523054155; 10=240;
8=FIX4.4; 35=8; 34=62; 49=MS; 56=M3; 52=2024-05-23-05:41:59; 55=AMZN; 40=2; 11=algo20240523054159; 31=133.47; 150=1; 39=1; 54=2; 44=133.47; 32=7860; 17=exec20240523054159; 38=15720; 60=2024-05-23-05:41:59; 6=133.47; 14=7860; 37=algo20240523054159; 10=240;
8=FIX4.4; 35=8; 34=67; 49=MS; 56=M3; 52=2024-05-23-05:42:02; 55=GOOG; 40=2; 11=algo20240523054202; 31=42.05; 150=1; 39=1; 54=2; 44=42.05; 32=14621; 17=exec20240523054202; 38=29242; 60=2024-05-23-05:42:02; 6=42.05; 14=14621; 37=algo20240523054202; 10=240;
8=FIX4.4; 35=8; 34=98; 49=MS; 56=M3; 52=2024-05-23-05:42:21; 55=SBUX; 40=2; 11=algo20240523054221; 31=75.71; 150=1; 39=1; 54=1; 44=75.71; 32=2483; 17=exec20240523054221; 38=9935; 60=2024-05-23-05:42:21; 6=75.71; 14=2483; 37=algo20240523054221; 10=240;
8=FIX4.4; 35=8; 34=99; 49=MS; 56=M3; 52=2024-05-23-05:42:22; 55=SBUX; 40=2; 11=algo20240523054221; 31=75.71; 150=1; 39=1; 54=1; 44=75.71; 32=2483; 17=exec20240523054222; 38=9935; 60=2024-05-23-05:42:22; 6=75.71; 14=4966; 37=algo20240523054221; 10=240;
8=FIX4.4; 35=8; 34=100; 49=MS; 56=M3; 52=2024-05-23-05:42:23; 55=SBUX; 40=2; 11=algo20240523054221; 31=75.71; 150=1; 39=1; 54=1; 44=75.71; 32=2483; 17=exec20240523054223; 38=9935; 60=2024-05-23-05:42:23; 6=75.71; 14=7449; 37=algo20240523054221; 10=240;
8=FIX4.4; 35=8; 34=132; 49=MS; 56=M3; 52=2024-05-23-05:42:45; 55=AOS; 40=2; 11=algo20240523054245; 31=40.38; 150=1; 39=1; 54=1; 44=40.38; 32=5015; 17=exec20240523054245; 38=20061; 60=2024-05-23-05:42:45; 6=40.38; 14=5015; 37=algo20240523054245; 10=240;
8=FIX4.4; 35=8; 34=136; 49=MS; 56=M3; 52=2024-05-23-05:42:48; 55=ATEN; 40=2; 11=algo20240523054248; 31=6.45; 150=1; 39=1; 54=1; 44=6.45; 32=829; 17=exec20240523054248; 38=1659; 60=2024-05-23-05:42:48; 6=6.45; 14=829; 37=algo20240523054248; 10=240;
8=FIX4.4; 35=8; 34=139; 49=MS; 56=M3; 52=2024-05-23-05:42:50; 55=AIR; 40=2; 11=algo20240523054250; 31=16.31; 150=1; 39=1; 54=2; 44=16.31; 32=7672; 17=exec20240523054250; 38=30688; 60=2024-05-23-05:42:50; 6=16.31; 14=7672; 37=algo20240523054250; 10=240;
8=FIX4.4; 35=8; 34=140; 49=MS; 56=M3; 52=2024-05-23-05:42:51; 55=AIR; 40=2; 11=algo20240523054250; 31=16.31; 150=1; 39=1; 54=2; 44=16.31; 32=7672; 17=exec20240523054251; 38=30688; 60=2024-05-23-05:42:51; 6=16.31; 14=15344; 37=algo20240523054250; 10=240;
8=FIX4.4; 35=8; 34=141; 49=MS; 56=M3; 52=2024-05-23-05:42:52; 55=AIR; 40=2; 11=algo20240523054250; 31=16.31; 150=1; 39=1; 54=2; 44=16.31; 32=7672; 17=exec20240523054252; 38=30688; 60=2024-05-23-05:42:52; 6=16.31; 14=23016; 37=algo20240523054250; 10=240;
8=FIX4.4; 35=8; 34=144; 49=MS; 56=M3; 52=2024-05-23-05:42:54; 55=AAN; 40=2; 11=algo20240523054254; 31=25.68; 150=1; 39=1; 54=1; 44=25.68; 32=4404; 17=exec20240523054254; 38=13213; 60=2024-05-23-05:42:54; 6=25.68; 14=4404; 37=algo20240523054254; 10=240;
8=FIX4.4; 35=8; 34=156; 49=MS; 56=M3; 52=2024-05-23-05:43:02; 55=ANF; 40=2; 11=algo20240523054302; 31=9.10; 150=1; 39=1; 54=2; 44=9.10; 32=9787; 17=exec20240523054302; 38=29362; 60=2024-05-23-05:43:02; 6=9.10; 14=9787; 37=algo20240523054302; 10=240;
8=FIX4.4; 35=8; 34=160; 49=MS; 56=M3; 52=2024-05-23-05:43:05; 55=ABM; 40=2; 11=algo20240523054305; 31=31.64; 150=1; 39=1; 54=1; 44=31.64; 32=392; 17=exec20240523054305; 38=1962; 60=2024-05-23-05:43:05; 6=31.64; 14=392; 37=algo20240523054305; 10=240;
8=FIX4.4; 35=8; 34=164; 49=MS; 56=M3; 52=2024-05-23-05:43:08; 55=AAPL; 40=2; 11=algo20240523054308; 31=284.65; 150=1; 39=1; 54=1; 44=284.65; 32=4081; 17=exec20240523054308; 38=20407; 60=2024-05-23-05:43:08; 6=284.65; 14=4081; 37=algo20240523054308; 10=240;
8=FIX4.4; 35=8; 34=171; 49=MS; 56=M3; 52=2024-05-23-05:43:13; 55=; 40=2; 11=algo20240523054313; 31=; 150=1; 39=1; 54=2; 44=; 32=5344; 17=exec20240523054313; 38=26723; 60=2024-05-23-05:43:13; 6=; 14=5344; 37=algo20240523054313; 10=240;
8=FIX4.4; 35=8; 34=172; 49=MS; 56=M3; 52=2024-05-23-05:43:14; 55=; 40=2; 11=algo20240523054313; 31=; 150=1; 39=1; 54=2; 44=; 32=5344; 17=exec20240523054314; 38=26723; 60=2024-05-23-05:43:14; 6=; 14=10688; 37=algo20240523054313; 10=240;
8=FIX4.4; 35=8; 34=173; 49=MS; 56=M3; 52=2024-05-23-05:43:15; 55=; 40=2; 11=algo20240523054313; 31=; 150=1; 39=1; 54=2; 44=; 32=5344; 17=exec20240523054315; 38=26723; 60=2024-05-23-05:43:15; 6=; 14=16032; 37=algo20240523054313; 10=240;
8=FIX4.4; 35=8; 34=174; 49=MS; 56=M3; 52=2024-05-23-05:43:16; 55=; 40=2; 11=algo20240523054313; 31=; 150=1; 39=1; 54=2; 44=; 32=5344; 17=exec20240523054316; 38=26723; 60=2024-05-23-05:43:16; 6=; 14=21376; 37=algo20240523054313; 10=240;
