8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-05-23-05:38:15; 55=AAPL; 40=2; 11=algo20240523053815; 31=1276.37; 150=1; 39=1; 54=2; 44=1276.37; 32=1179; 17=exec20240523053815; 38=5898; 60=2024-05-23-05:38:15; 6=1276.37; 14=1179; 37=algo20240523053815; 10=240;
8=FIX4.4; 35=8; 34=97; 49=MS; 56=M3; 52=2024-05-23-05:38:43; 55=SBUX; 40=2; 11=algo20240523053842; 31=75.71; 150=1; 39=1; 54=2; 44=75.71; 32=1625; 17=exec20240523053843; 38=6501; 60=2024-05-23-05:38:43; 6=75.71; 14=3250; 37=algo20240523053842; 10=240;
8=FIX4.4; 35=8; 34=101; 49=MS; 56=M3; 52=2024-05-23-05:38:47; 55=QCOM; 40=2; 11=algo20240523053846; 31=75.47; 150=2; 39=2; 54=1; 44=75.47; 32=11494; 17=exec20240523053847; 38=11494; 60=2024-05-23-05:38:47; 6=75.47; 14=11494; 37=algo20240523053846; 10=246;
8=FIX4.4; 35=8; 34=103; 49=MS; 56=M3; 52=2024-05-23-05:38:47; 55=TMUS; 40=2; 11=algo20240523053847; 31=90.74; 150=1; 39=1; 54=1; 44=90.74; 32=5130; 17=exec20240523053847; 38=20521; 60=2024-05-23-05:38:47; 6=90.74; 14=5130; 37=algo20240523053847; 10=240;
8=FIX4.4; 35=8; 34=107; 49=MS; 56=M3; 52=2024-05-23-05:38:50; 55=MDLZ; 40=2; 11=algo20240523053850; 31=52.26; 150=1; 39=1; 54=1; 44=52.26; 32=7368; 17=exec20240523053850; 38=22104; 60=2024-05-23-05:38:50; 6=52.26; 14=7368; 37=algo20240523053850; 10=240;
8=FIX4.4; 35=8; 34=111; 49=MS; 56=M3; 52=2024-05-23-05:38:53; 55=BAC; 40=2; 11=algo20240523053853; 31=22.03; 150=1; 39=1; 54=2; 44=22.03; 32=10027; 17=exec20240523053853; 38=30081; 60=2024-05-23-05:38:53; 6=22.03; 14=10027; 37=algo20240523053853; 10=240;
8=FIX4.4; 35=8; 34=112; 49=MS; 56=M3; 52=2024-05-23-05:38:54; 55=BAC; 40=2; 11=algo20240523053853; 31=22.03; 150=1; 39=1; 54=2; 44=22.03; 32=10027; 17=exec20240523053854; 38=30081; 60=2024-05-23-05:38:54; 6=22.03; 14=20054; 37=algo20240523053853; 10=240;
8=FIX4.4; 35=8; 34=113; 49=MS; 56=M3; 52=2024-05-23-05:38:56; 55=BAC; 40=2; 11=algo20240523053853; 31=22.03; 150=2; 39=2; 54=2; 44=22.03; 32=10027; 17=exec20240523053856; 38=30081; 60=2024-05-23-05:38:56; 6=22.03; 14=30081; 37=algo20240523053853; 10=246;
8=FIX4.4; 35=8; 34=115; 49=MS; 56=M3; 52=2024-05-23-05:38:56; 55=DDD; 40=2; 11=algo20240523053856; 31=8.01; 150=1; 39=1; 54=1; 44=8.01; 32=2942; 17=exec20240523053856; 38=8827; 60=2024-05-23-05:38:56; 6=8.01; 14=2942; 37=algo20240523053856; 10=240;
8=FIX4.4; 35=8; 34=119; 49=MS; 56=M3; 52=2024-05-23-05:38:59; 55=MMM; 40=2; 11=algo20240523053859; 31=146.98; 150=1; 39=1; 54=2; 44=146.98; 32=501; 17=exec20240523053859; 38=1003; 60=2024-05-23-05:38:59; 6=146.98; 14=501; 37=algo20240523053859; 10=240;
8=FIX4.4; 35=8; 34=120; 49=MS; 56=M3; 52=2024-05-23-05:39:01; 55=MMM; 40=2; 11=algo20240523053859; 31=146.98; 150=2; 39=2; 54=2; 44=146.98; 32=502; 17=exec20240523053901; 38=1003; 60=2024-05-23-05:39:01; 6=146.98; 14=1003; 37=algo20240523053859; 10=246;
8=FIX4.4; 35=8; 34=128; 49=MS; 56=M3; 52=2024-05-23-05:39:05; 55=EGHT; 40=2; 11=algo20240523053905; 31=17.03; 150=1; 39=1; 54=1; 44=17.03; 32=7955; 17=exec20240523053905; 38=15911; 60=2024-05-23-05:39:05; 6=17.03; 14=7955; 37=algo20240523053905; 10=240;
8=FIX4.4; 35=8; 34=129; 49=MS; 56=M3; 52=2024-05-23-05:39:07; 55=EGHT; 40=2; 11=algo20240523053905; 31=17.03; 150=2; 39=2; 54=1; 44=17.03; 32=7956; 17=exec20240523053907; 38=15911; 60=2024-05-23-05:39:07; 6=17.03; 14=15911; 37=algo20240523053905; 10=246;
8=FIX4.4; 35=8; 34=134; 49=MS; 56=M3; 52=2024-05-23-05:39:09; 55=AOS; 40=2; 11=algo20240523053909; 31=40.38; 150=1; 39=1; 54=2; 44=40.38; 32=1556; 17=exec20240523053909; 38=6224; 60=2024-05-23-05:39:09; 6=40.38; 14=1556; 37=algo20240523053909; 10=240;
8=FIX4.4; 35=8; 34=135; 49=MS; 56=M3; 52=2024-05-23-05:39:10; 55=AOS; 40=2; 11=algo20240523053909; 31=40.38; 150=1; 39=1; 54=2; 44=40.38; 32=1556; 17=exec20240523053910; 38=6224; 60=2024-05-23-05:39:10; 6=40.38; 14=3112; 37=algo20240523053909; 10=240;
8=FIX4.4; 35=8; 34=136; 49=MS; 56=M3; 52=2024-05-23-05:39:11; 55=AOS; 40=2; 11=algo20240523053909; 31=40.38; 150=1; 39=1; 54=2; 44=40.38; 32=1556; 17=exec20240523053911; 38=6224; 60=2024-05-23-05:39:11; 6=40.38; 14=4668; 37=algo20240523053909; 10=240;
8=FIX4.4; 35=8; 34=137; 49=MS; 56=M3; 52=2024-05-23-05:39:13; 55=AOS; 40=2; 11=algo20240523053909; 31=40.38; 150=2; 39=2; 54=2; 44=40.38; 32=1556; 17=exec20240523053913; 38=6224; 60=2024-05-23-05:39:13; 6=40.38; 14=6224; 37=algo20240523053909; 10=246;
8=FIX4.4; 35=8; 34=145; 49=MS; 56=M3; 52=2024-05-23-05:39:17; 55=AAN; 40=2; 11=algo20240523053917; 31=25.68; 150=1; 39=1; 54=2; 44=25.68; 32=5982; 17=exec20240523053917; 38=17946; 60=2024-05-23-05:39:17; 6=25.68; 14=5982; 37=algo20240523053917; 10=240;
8=FIX4.4; 35=8; 34=152; 49=MS; 56=M3; 52=2024-05-23-05:39:22; 55=ABT; 40=2; 11=algo20240523053922; 31=94.04; 150=1; 39=1; 54=2; 44=94.04; 32=3179; 17=exec20240523053922; 38=12719; 60=2024-05-23-05:39:22; 6=94.04; 14=3179; 37=algo20240523053922; 10=240;
8=FIX4.4; 35=8; 34=153; 49=MS; 56=M3; 52=2024-05-23-05:39:23; 55=ABT; 40=2; 11=algo20240523053922; 31=94.04; 150=1; 39=1; 54=2; 44=94.04; 32=3179; 17=exec20240523053923; 38=12719; 60=2024-05-23-05:39:23; 6=94.04; 14=6358; 37=algo20240523053922; 10=240;
8=FIX4.4; 35=8; 34=154; 49=MS; 56=M3; 52=2024-05-23-05:39:24; 55=ABT; 40=2; 11=algo20240523053922; 31=94.04; 150=1; 39=1; 54=2; 44=94.04; 32=3179; 17=exec20240523053924; 38=12719; 60=2024-05-23-05:39:24; 6=94.04; 14=9537; 37=algo20240523053922; 10=240;
8=FIX4.4; 35=8; 34=155; 49=MS; 56=M3; 52=2024-05-23-05:39:26; 55=ABT; 40=2; 11=algo20240523053922; 31=94.04; 150=2; 39=2; 54=2; 44=94.04; 32=3182; 17=exec20240523053926; 38=12719; 60=2024-05-23-05:39:26; 6=94.04; 14=12719; 37=algo20240523053922; 10=246;
8=FIX4.4; 35=8; 34=157; 49=MS; 56=M3; 52=2024-05-23-05:39:26; 55=ABBV; 40=2; 11=algo20240523053926; 31=83.60; 150=1; 39=1; 54=2; 44=83.60; 32=12982; 17=exec20240523053926; 38=25965; 60=2024-05-23-05:39:26; 6=83.60; 14=12982; 37=algo20240523053926; 10=240;
8=FIX4.4; 35=8; 34=158; 49=MS; 56=M3; 52=2024-05-23-05:39:28; 55=ABBV; 40=2; 11=algo20240523053926; 31=83.60; 150=2; 39=2; 54=2; 44=83.60; 32=12983; 17=exec20240523053928; 38=25965; 60=2024-05-23-05:39:28; 6=83.60; 14=25965; 37=algo20240523053926; 10=246;
8=FIX4.4; 35=8; 34=163; 49=MS; 56=M3; 52=2024-05-23-05:39:31; 55=ABM; 40=2; 11=algo20240523053930; 31=31.64; 150=2; 39=2; 54=1; 44=31.64; 32=5955; 17=exec20240523053931; 38=5955; 60=2024-05-23-05:39:31; 6=31.64; 14=5955; 37=algo20240523053930; 10=246;
8=FIX4.4; 35=8; 34=165; 49=MS; 56=M3; 52=2024-05-23-05:39:32; 55=AAPL; 40=2; 11=algo20240523053931; 31=284.65; 150=2; 39=2; 54=2; 44=284.65; 32=12339; 17=exec20240523053932; 38=12339; 60=2024-05-23-05:39:32; 6=284.65; 14=12339; 37=algo20240523053931; 10=246;
8=FIX4.4; 35=8; 34=167; 49=MS; 56=M3; 52=2024-05-23-05:39:32; 55=PEP; 40=2; 11=algo20240523053932; 31=45.43; 150=1; 39=1; 54=2; 44=45.43; 32=4027; 17=exec20240523053932; 38=12082; 60=2024-05-23-05:39:32; 6=45.43; 14=4027; 37=algo20240523053932; 10=240;
8=FIX4.4; 35=8; 34=168; 49=MS; 56=M3; 52=2024-05-23-05:39:33; 55=PEP; 40=2; 11=algo20240523053932; 31=45.43; 150=1; 39=1; 54=2; 44=45.43; 32=4027; 17=exec20240523053933; 38=12082; 60=2024-05-23-05:39:33; 6=45.43; 14=8054; 37=algo20240523053932; 10=240;
8=FIX4.4; 35=8; 34=169; 49=MS; 56=M3; 52=2024-05-23-05:39:35; 55=PEP; 40=2; 11=algo20240523053932; 31=45.43; 150=2; 39=2; 54=2; 44=45.43; 32=4028; 17=exec20240523053935; 38=12082; 60=2024-05-23-05:39:35; 6=45.43; 14=12082; 37=algo20240523053932; 10=246;
8=FIX4.4; 35=8; 34=53; 49=MS; 56=M3; 52=2024-05-23-05:41:52; 55=AAPL; 40=2; 11=algo20240523054152; 31=1276.37; 150=1; 39=1; 54=1; 44=1276.37; 32=3352; 17=exec20240523054152; 38=13409; 60=2024-05-23-05:41:52; 6=1276.37; 14=3352; 37=algo20240523054152; 10=240;
8=FIX4.4; 35=8; 34=57; 49=MS; 56=M3; 52=2024-05-23-05:41:55; 55=MSFT; 40=2; 11=algo20240523054155; 31=59.89; 150=1; 39=1; 54=1; 44=59.89; 32=616; 17=exec20240523054155; 38=3084; 60=2024-05-23-05:41:55; 6=59.89; 14=616; 37=algo20240523054155; 10=240;
8=FIX4.4; 35=8; 34=58; 49=MS; 56=M3; 52=2024-05-23-05:41:56; 55=MSFT; 40=2; 11=algo20240523054155; 31=59.89; 150=1; 39=1; 54=1; 44=59.89; 32=616; 17=exec20240523054156; 38=3084; 60=2024-05-23-05:41:56; 6=59.89; 14=1232; 37=algo20240523054155; 10=240;
8=FIX4.4; 35=8; 34=62; 49=MS; 56=M3; 52=2024-05-23-05:41:59; 55=AMZN; 40=2; 11=algo20240523054159; 31=133.47; 150=1; 39=1; 54=2; 44=133.47; 32=7860; 17=exec20240523054159; 38=15720; 60=2024-05-23-05:41:59; 6=133.47; 14=7860; 37=algo20240523054159; 10=240;
8=FIX4.4; 35=8; 34=63; 49=MS; 56=M3; 52=2024-05-23-05:42:01; 55=AMZN; 40=2; 11=algo20240523054159; 31=133.47; 150=2; 39=2; 54=2; 44=133.47; 32=7860; 17=exec20240523054201; 38=15720; 60=2024-05-23-05:42:01; 6=133.47; 14=15720; 37=algo20240523054159; 10=246;
8=FIX4.4; 35=8; 34=65; 49=MS; 56=M3; 52=2024-05-23-05:42:02; 55=FB; 40=2; 11=algo20240523054201; 31=430.62; 150=2; 39=2; 54=1; 44=430.62; 32=27690; 17=exec20240523054202; 38=27690; 60=2024-05-23-05:42:02; 6=430.62; 14=27690; 37=algo20240523054201; 10=246;
8=FIX4.4; 35=8; 34=67; 49=MS; 56=M3; 52=2024-05-23-05:42:02; 55=GOOG; 40=2; 11=algo20240523054202; 31=42.05; 150=1; 39=1; 54=2; 44=42.05; 32=14621; 17=exec20240523054202; 38=29242; 60=2024-05-23-05:42:02; 6=42.05; 14=14621; 37=algo20240523054202; 10=240;
8=FIX4.4; 35=8; 34=68; 49=MS; 56=M3; 52=2024-05-23-05:42:04; 55=GOOG; 40=2; 11=algo20240523054202; 31=42.05; 150=2; 39=2; 54=2; 44=42.05; 32=14621; 17=exec20240523054204; 38=29242; 60=2024-05-23-05:42:04; 6=42.05; 14=29242; 37=algo20240523054202; 10=246;
8=FIX4.4; 35=8; 34=73; 49=MS; 56=M3; 52=2024-05-23-05:42:07; 55=INTC; 40=2; 11=algo20240523054206; 31=339.13; 150=2; 39=2; 54=1; 44=339.13; 32=14637; 17=exec20240523054207; 38=14637; 60=2024-05-23-05:42:07; 6=339.13; 14=14637; 37=algo20240523054206; 10=246;
8=FIX4.4; 35=8; 34=78; 49=MS; 56=M3; 52=2024-05-23-05:42:10; 55=NFLX; 40=2; 11=algo20240523054209; 31=306.71; 150=2; 39=2; 54=2; 44=306.71; 32=27417; 17=exec20240523054210; 38=27417; 60=2024-05-23-05:42:10; 6=306.71; 14=27417; 37=algo20240523054209; 10=246;
8=FIX4.4; 35=8; 34=89; 49=MS; 56=M3; 52=2024-05-23-05:42:17; 55=TSLA; 40=2; 11=algo20240523054216; 31=503.77; 150=2; 39=2; 54=1; 44=503.77; 32=10860; 17=exec20240523054217; 38=10860; 60=2024-05-23-05:42:17; 6=503.77; 14=10860; 37=algo20240523054216; 10=246;
8=FIX4.4; 35=8; 34=94; 49=MS; 56=M3; 52=2024-05-23-05:42:20; 55=AVGO; 40=2; 11=algo20240523054219; 31=262.99; 150=2; 39=2; 54=1; 44=262.99; 32=25410; 17=exec20240523054220; 38=25410; 60=2024-05-23-05:42:20; 6=262.99; 14=25410; 37=algo20240523054219; 10=246;
8=FIX4.4; 35=8; 34=96; 49=MS; 56=M3; 52=2024-05-23-05:42:21; 55=GILD; 40=2; 11=algo20240523054220; 31=82.91; 150=2; 39=2; 54=2; 44=82.91; 32=10645; 17=exec20240523054221; 38=10645; 60=2024-05-23-05:42:21; 6=82.91; 14=10645; 37=algo20240523054220; 10=246;
8=FIX4.4; 35=8; 34=98; 49=MS; 56=M3; 52=2024-05-23-05:42:21; 55=SBUX; 40=2; 11=algo20240523054221; 31=75.71; 150=1; 39=1; 54=1; 44=75.71; 32=2483; 17=exec20240523054221; 38=9935; 60=2024-05-23-05:42:21; 6=75.71; 14=2483; 37=algo20240523054221; 10=240;
8=FIX4.4; 35=8; 34=99; 49=MS; 56=M3; 52=2024-05-23-05:42:22; 55=SBUX; 40=2; 11=algo20240523054221; 31=75.71; 150=1; 39=1; 54=1; 44=75.71; 32=2483; 17=exec20240523054222; 38=9935; 60=2024-05-23-05:42:22; 6=75.71; 14=4966; 37=algo20240523054221; 10=240;
8=FIX4.4; 35=8; 34=100; 49=MS; 56=M3; 52=2024-05-23-05:42:23; 55=SBUX; 40=2; 11=algo20240523054221; 31=75.71; 150=1; 39=1; 54=1; 44=75.71; 32=2483; 17=exec20240523054223; 38=9935; 60=2024-05-23-05:42:23; 6=75.71; 14=7449; 37=algo20240523054221; 10=240;
8=FIX4.4; 35=8; 34=101; 49=MS; 56=M3; 52=2024-05-23-05:42:25; 55=SBUX; 40=2; 11=algo20240523054221; 31=75.71; 150=2; 39=2; 54=1; 44=75.71; 32=2486; 17=exec20240523054225; 38=9935; 60=2024-05-23-05:42:25; 6=75.71; 14=9935; 37=algo20240523054221; 10=246;
8=FIX4.4; 35=8; 34=112; 49=MS; 56=M3; 52=2024-05-23-05:42:32; 55=BAC; 40=2; 11=algo20240523054231; 31=22.03; 150=2; 39=2; 54=1; 44=22.03; 32=28401; 17=exec20240523054232; 38=28401; 60=2024-05-23-05:42:32; 6=22.03; 14=28401; 37=algo20240523054231; 10=246;
8=FIX4.4; 35=8; 34=132; 49=MS; 56=M3; 52=2024-05-23-05:42:45; 55=AOS; 40=2; 11=algo20240523054245; 31=40.38; 150=1; 39=1; 54=1; 44=40.38; 32=5015; 17=exec20240523054245; 38=20061; 60=2024-05-23-05:42:45; 6=40.38; 14=5015; 37=algo20240523054245; 10=240;
8=FIX4.4; 35=8; 34=136; 49=MS; 56=M3; 52=2024-05-23-05:42:48; 55=ATEN; 40=2; 11=algo20240523054248; 31=6.45; 150=1; 39=1; 54=1; 44=6.45; 32=829; 17=exec20240523054248; 38=1659; 60=2024-05-23-05:42:48; 6=6.45; 14=829; 37=algo20240523054248; 10=240;
8=FIX4.4; 35=8; 34=137; 49=MS; 56=M3; 52=2024-05-23-05:42:50; 55=ATEN; 40=2; 11=algo20240523054248; 31=6.45; 150=2; 39=2; 54=1; 44=6.45; 32=830; 17=exec20240523054250; 38=1659; 60=2024-05-23-05:42:50; 6=6.45; 14=1659; 37=algo20240523054248; 10=246;
8=FIX4.4; 35=8; 34=139; 49=MS; 56=M3; 52=2024-05-23-05:42:50; 55=AIR; 40=2; 11=algo20240523054250; 31=16.31; 150=1; 39=1; 54=2; 44=16.31; 32=7672; 17=exec20240523054250; 38=30688; 60=2024-05-23-05:42:50; 6=16.31; 14=7672; 37=algo20240523054250; 10=240;
8=FIX4.4; 35=8; 34=140; 49=MS; 56=M3; 52=2024-05-23-05:42:51; 55=AIR; 40=2; 11=algo20240523054250; 31=16.31; 150=1; 39=1; 54=2; 44=16.31; 32=7672; 17=exec20240523054251; 38=30688; 60=2024-05-23-05:42:51; 6=16.31; 14=15344; 37=algo20240523054250; 10=240;
8=FIX4.4; 35=8; 34=141; 49=MS; 56=M3; 52=2024-05-23-05:42:52; 55=AIR; 40=2; 11=algo20240523054250; 31=16.31; 150=1; 39=1; 54=2; 44=16.31; 32=7672; 17=exec20240523054252; 38=30688; 60=2024-05-23-05:42:52; 6=16.31; 14=23016; 37=algo20240523054250; 10=240;
8=FIX4.4; 35=8; 34=142; 49=MS; 56=M3; 52=2024-05-23-05:42:54; 55=AIR; 40=2; 11=algo20240523054250; 31=16.31; 150=2; 39=2; 54=2; 44=16.31; 32=7672; 17=exec20240523054254; 38=30688; 60=2024-05-23-05:42:54; 6=16.31; 14=30688; 37=algo20240523054250; 10=246;
8=FIX4.4; 35=8; 34=144; 49=MS; 56=M3; 52=2024-05-23-05:42:54; 55=AAN; 40=2; 11=algo20240523054254; 31=25.68; 150=1; 39=1; 54=1; 44=25.68; 32=4404; 17=exec20240523054254; 38=13213; 60=2024-05-23-05:42:54; 6=25.68; 14=4404; 37=algo20240523054254; 10=240;
8=FIX4.4; 35=8; 34=148; 49=MS; 56=M3; 52=2024-05-23-05:42:58; 55=ABB; 40=2; 11=algo20240523054257; 31=17.42; 150=2; 39=2; 54=1; 44=17.42; 32=10996; 17=exec20240523054258; 38=10996; 60=2024-05-23-05:42:58; 6=17.42; 14=10996; 37=algo20240523054257; 10=246;
8=FIX4.4; 35=8; 34=156; 49=MS; 56=M3; 52=2024-05-23-05:43:02; 55=ANF; 40=2; 11=algo20240523054302; 31=9.10; 150=1; 39=1; 54=2; 44=9.10; 32=9787; 17=exec20240523054302; 38=29362; 60=2024-05-23-05:43:02; 6=9.10; 14=9787; 37=algo20240523054302; 10=240;
8=FIX4.4; 35=8; 34=160; 49=MS; 56=M3; 52=2024-05-23-05:43:05; 55=ABM; 40=2; 11=algo20240523054305; 31=31.64; 150=1; 39=1; 54=1; 44=31.64; 32=392; 17=exec20240523054305; 38=1962; 60=2024-05-23-05:43:05; 6=31.64; 14=392; 37=algo20240523054305; 10=240;
8=FIX4.4; 35=8; 34=164; 49=MS; 56=M3; 52=2024-05-23-05:43:08; 55=AAPL; 40=2; 11=algo20240523054308; 31=284.65; 150=1; 39=1; 54=1; 44=284.65; 32=4081; 17=exec20240523054308; 38=20407; 60=2024-05-23-05:43:08; 6=284.65; 14=4081; 37=algo20240523054308; 10=240;
8=FIX4.4; 35=8; 34=171; 49=MS; 56=M3; 52=2024-05-23-05:43:13; 55=; 40=2; 11=algo20240523054313; 31=; 150=1; 39=1; 54=2; 44=; 32=5344; 17=exec20240523054313; 38=26723; 60=2024-05-23-05:43:13; 6=; 14=5344; 37=algo20240523054313; 10=240;
8=FIX4.4; 35=8; 34=172; 49=MS; 56=M3; 52=2024-05-23-05:43:14; 55=; 40=2; 11=algo20240523054313; 31=; 150=1; 39=1; 54=2; 44=; 32=5344; 17=exec20240523054314; 38=26723; 60=2024-05-23-05:43:14; 6=; 14=10688; 37=algo20240523054313; 10=240;
8=FIX4.4; 35=8; 34=173; 49=MS; 56=M3; 52=2024-05-23-05:43:15; 55=; 40=2; 11=algo20240523054313; 31=; 150=1; 39=1; 54=2; 44=; 32=5344; 17=exec20240523054315; 38=26723; 60=2024-05-23-05:43:15; 6=; 14=16032; 37=algo20240523054313; 10=240;
8=FIX4.4; 35=8; 34=174; 49=MS; 56=M3; 52=2024-05-23-05:43:16; 55=; 40=2; 11=algo20240523054313; 31=; 150=1; 39=1; 54=2; 44=; 32=5344; 17=exec20240523054316; 38=26723; 60=2024-05-23-05:43:16; 6=; 14=21376; 37=algo20240523054313; 10=240;
8=FIX4.4; 35=8; 34=175; 49=MS; 56=M3; 52=2024-05-23-05:43:18; 55=; 40=2; 11=algo20240523054313; 31=; 150=2; 39=2; 54=2; 44=; 32=5347; 17=exec20240523054318; 38=26723; 60=2024-05-23-05:43:18; 6=; 14=26723; 37=algo20240523054313; 10=246;
